site_id,survey_date,pit_tag_id,bd_load
22008,2017-08-10,900067000089676,NA
22008,2017-08-10,900067000089704,NA
22008,2017-08-10,900067000089709,NA
22008,2017-08-10,900067000089741,NA
22008,2017-08-10,900067000089751,1060.888
22008,2017-08-10,900067000089755,NA
22008,2017-08-10,900067000089780,NA
22008,2017-08-10,900067000089800,303.416
22008,2017-08-10,900067000089829,NA
22008,2017-08-10,900067000089837,NA
22008,2017-08-10,900067000089965,NA
22008,2017-09-12,900067000089560,255294.4
22008,2017-09-12,900067000089636,519451.2
22008,2017-09-12,900067000089652,118283.6
22008,2017-09-12,900067000089680,278370.48
22008,2017-09-12,900067000089709,9374.56
22008,2017-09-12,900067000089755,3418.16
22008,2017-09-12,900067000089780,18597.848
22008,2017-09-12,900067000089829,259553.68
22008,2017-09-12,900067000089900,8591.336
22008,2017-09-12,900067000089965,3674.952
22008,2017-09-13,900067000089520,497138.48
22008,2017-09-13,900067000089526,17690.52
22008,2017-09-13,900067000089560,NA
22008,2017-09-13,900067000089636,NA
22008,2017-09-13,900067000089676,26589.856
22008,2017-09-13,900067000089680,NA
22008,2017-09-13,900067000089709,NA
22008,2017-09-13,900067000089741,3684.44
22008,2017-09-13,900067000089751,13177.248
22008,2017-09-13,900067000089755,NA
22008,2017-09-13,900067000089780,NA
22008,2017-09-13,900067000089800,32513.696
22008,2017-09-13,900067000089837,59466.416
22008,2017-09-13,900067000089900,NA
22008,2017-09-13,900067000089965,NA
22008,2017-09-13,900067000089985,14277.192
22008,2017-09-14,900067000089520,NA
22008,2017-09-14,900067000089526,NA
22008,2017-09-14,900067000089593,5450.472
22008,2017-09-14,900067000089636,NA
22008,2017-09-14,900067000089676,NA
22008,2017-09-14,900067000089680,NA
22008,2017-09-14,900067000089709,NA
22008,2017-09-14,900067000089741,NA
22008,2017-09-14,900067000089751,NA
22008,2017-09-14,900067000089753,0
22008,2017-09-14,900067000089755,NA
22008,2017-09-14,900067000089780,NA
22008,2017-09-14,900067000089837,NA
22008,2017-09-14,900067000089900,NA
22008,2017-09-14,900067000089965,NA
22008,2017-09-14,900067000089985,NA
22008,2017-09-14,900067000089987,4234.984
22008,2018-06-28,900067000089528,0
22008,2018-06-28,900067000089581,62246.904
22008,2018-06-28,900067000089652,24694.632
22008,2018-06-28,900067000089676,636.024
22008,2018-06-28,900067000089709,630.528
22008,2018-06-28,900067000089755,540.96
22008,2018-06-28,900067000089780,2351.624
22008,2018-06-28,900067000089837,8241.176
22008,2018-06-28,900067000089965,0
22008,2018-06-28,900067000089985,123.36
22008,2018-06-28,982000410163511,0
22008,2018-06-29,900067000089528,NA
22008,2018-06-29,900067000089581,NA
22008,2018-06-29,900067000089676,NA
22008,2018-06-29,900067000089709,NA
22008,2018-06-29,900067000089730,0
22008,2018-06-29,900067000089755,NA
22008,2018-06-29,900067000089780,NA
22008,2018-06-29,900067000089837,NA
22008,2018-06-29,900067000089900,17031.04
22008,2018-06-29,900067000089902,1307.432
22008,2018-06-29,900067000089965,NA
22008,2018-06-29,900067000089985,NA
22008,2018-06-29,982000410163511,NA
22008,2018-06-30,900067000089528,NA
22008,2018-06-30,900067000089581,NA
22008,2018-06-30,900067000089652,NA
22008,2018-06-30,900067000089676,NA
22008,2018-06-30,900067000089709,NA
22008,2018-06-30,900067000089755,NA
22008,2018-06-30,900067000089780,NA
22008,2018-06-30,900067000089837,NA
22008,2018-06-30,900067000089900,NA
22008,2018-06-30,900067000089902,NA
22008,2018-06-30,900067000089965,NA
22008,2018-06-30,900067000089985,NA
22008,2018-06-30,982000410163511,NA
22008,2018-09-03,900067000089581,1550346.264
22008,2018-09-03,900067000089652,46867.168
22008,2018-09-03,900067000089755,11076.952
22008,2018-09-03,900067000089902,14075.992
22008,2018-09-03,900067000089965,5590.128
22008,2018-09-04,900067000089581,NA
22008,2018-09-04,900067000089651,17231.144
22008,2018-09-04,900067000089652,NA
22008,2018-09-04,900067000089709,17197.312
22008,2018-09-04,900067000089900,4975.64
22008,2018-09-04,900067000089965,NA
22008,2018-09-04,900067000089985,47532.008
22008,2018-09-05,900067000089528,7608.312
22008,2018-09-05,900067000089581,NA
22008,2018-09-05,900067000089652,NA
22008,2018-09-05,900067000089965,NA
22008,2019-08-19,900067000089531,456.16
