site_id,type,release_date,pit_tag_id
10109,reintroduction,2022-07-21,900043000217295
10109,reintroduction,2022-07-21,900043000217297
10109,reintroduction,2022-07-21,900043000217314
10109,reintroduction,2022-07-21,900043000217317
10109,reintroduction,2022-07-21,900043000217327
10109,reintroduction,2022-07-21,900043000217328
10109,reintroduction,2022-07-21,900043000217336
10109,reintroduction,2022-07-21,900043000217339
10109,reintroduction,2022-07-21,900043000217341
10109,reintroduction,2022-07-21,900043000217351
10109,reintroduction,2022-07-21,900043000217359
10109,reintroduction,2022-07-21,900043000217360
10109,reintroduction,2022-07-21,900043000217368
10109,reintroduction,2022-07-21,900043000217373
10109,reintroduction,2022-07-21,900043000217381
10109,reintroduction,2022-07-21,900043000217389
10109,reintroduction,2022-07-21,900043000217432
10109,reintroduction,2022-07-21,900043000217464
10109,reintroduction,2022-07-21,900043000217496
10109,reintroduction,2023-08-28,900043000215800
10109,reintroduction,2023-08-28,900043000215806
10109,reintroduction,2023-08-28,900043000215817
10109,reintroduction,2023-08-28,900043000215820
10109,reintroduction,2023-08-28,900043000215874
10109,reintroduction,2023-08-28,900043000215897
10109,reintroduction,2023-08-28,900043000216705
10109,reintroduction,2023-08-28,900043000216707
10109,reintroduction,2023-08-28,900043000216714
10109,reintroduction,2023-08-28,900043000216715
10109,reintroduction,2023-08-28,900043000216717
10109,reintroduction,2023-08-28,900043000216724
10109,reintroduction,2023-08-28,900043000216727
10109,reintroduction,2023-08-28,900043000216742
10109,reintroduction,2023-08-28,900043000216744
10109,reintroduction,2023-08-28,900043000216749
10109,reintroduction,2023-08-28,900043000216751
10109,reintroduction,2023-08-28,900043000216752
10109,reintroduction,2023-08-28,900043000216766
10109,reintroduction,2023-08-28,900043000216780
10109,reintroduction,2023-08-28,900043000216783
10109,reintroduction,2023-08-28,900043000216786
10109,reintroduction,2023-08-28,900043000216789
10109,reintroduction,2023-08-28,900043000216811
10109,reintroduction,2023-08-28,900043000216821
10109,reintroduction,2023-08-28,900043000216840
10109,reintroduction,2023-08-28,900043000216854
10109,reintroduction,2023-08-28,900043000216855
10109,reintroduction,2023-08-28,900043000216860
10109,reintroduction,2023-08-28,900043000216868
10109,reintroduction,2023-08-28,900043000216871
10109,reintroduction,2023-08-28,900043000216894
10109,reintroduction,2023-08-28,900043000216902
10109,reintroduction,2023-08-28,900043000216907
10109,reintroduction,2023-08-28,900043000216911
10109,reintroduction,2023-08-28,900043000216913
10109,reintroduction,2023-08-28,900043000216918
10109,reintroduction,2023-08-28,900043000216919
10109,reintroduction,2023-08-28,900043000216924
10109,reintroduction,2023-08-28,900043000216925
10109,reintroduction,2023-08-28,900043000216933
10109,reintroduction,2023-08-28,900043000216937
10109,reintroduction,2023-08-28,900043000216942
10109,reintroduction,2023-08-28,900043000216954
10109,reintroduction,2023-08-28,900043000216960
10109,reintroduction,2023-08-28,900043000216974
