site_id,survey_date,pit_tag_id,bd_load,treatment
22008,2018-06-29,900067000089902,1307.432,exposed
22008,2018-06-29,900067000089965,NA,exposed
22008,2018-06-29,900067000089985,NA,unexposed
22008,2018-06-29,982000410163511,NA,exposed
22008,2018-06-30,900067000089528,NA,exposed
22008,2018-06-30,900067000089581,NA,exposed
22008,2018-06-30,900067000089652,NA,exposed
22008,2018-06-30,900067000089676,NA,exposed
22008,2018-06-30,900067000089709,NA,exposed
22008,2018-06-30,900067000089755,NA,unexposed
22008,2018-06-30,900067000089780,NA,exposed
22008,2018-06-30,900067000089837,NA,unexposed
22008,2018-06-30,900067000089900,NA,exposed
22008,2018-06-30,900067000089902,NA,exposed
22008,2018-06-30,900067000089965,NA,exposed
22008,2018-06-30,900067000089985,NA,unexposed
22008,2018-06-30,982000410163511,NA,exposed
22008,2018-09-03,900067000089581,1550346.264,exposed
22008,2018-09-03,900067000089652,46867.168,exposed
22008,2018-09-03,900067000089755,11076.952,unexposed
22008,2018-09-03,900067000089902,14075.992,exposed
22008,2018-09-03,900067000089965,5590.128,exposed
22019,2018-09-04,900043000144489,1582.216,wild
22008,2018-09-04,900067000089581,NA,exposed
22008,2018-09-04,900067000089651,17231.144,unexposed
22008,2018-09-04,900067000089652,NA,exposed
22008,2018-09-04,900067000089709,17197.312,exposed
22008,2018-09-04,900067000089900,4975.64,exposed
22008,2018-09-04,900067000089965,NA,exposed
22008,2018-09-04,900067000089985,47532.008,unexposed
22008,2018-09-05,900067000089528,7608.312,exposed
22008,2018-09-05,900067000089581,NA,exposed
22008,2018-09-05,900067000089652,NA,exposed
22008,2018-09-05,900067000089965,NA,exposed
22008,2019-08-19,900067000089531,456.16,exposed
22008,2019-08-19,900067000089600,437330.888,exposed
22008,2019-08-19,900067000089709,210177.336,exposed
22008,2019-08-19,900067000089751,264664.664,exposed
22008,2019-08-19,900067000089755,1416.544,unexposed
22008,2019-08-19,900067000089780,200006.152,exposed
22008,2019-08-19,900067000089800,25617.488,exposed
22008,2019-08-19,900067000089817,5244.272,exposed
22008,2019-08-19,900067000089900,135909.968,exposed
22008,2019-08-19,900067000089985,72325.032,unexposed
22008,2019-08-19,900067000114823,194982.808,wild
22019,2019-08-19,900067000117200,0,wild
22008,2019-08-19,900067000117202,170292.456,wild
22008,2019-08-19,900067000117239,2348.008,wild
22008,2019-08-19,900067000117245,13465.384,wild
22008,2019-08-19,900067000117375,35047.92,wild
22008,2019-08-19,982000410163511,3315.784,exposed
22008,2019-08-20,900043000144376,6460.16,wild
22019,2019-08-20,900043000144396,87.848,wild
22008,2019-08-20,900067000089709,NA,exposed
22008,2019-08-20,900067000089751,NA,exposed
