site_id,type,release_date,pit_tag_id,treatment
20135,reintroduction,2016-07-18,900067000089795,exposed
20135,reintroduction,2016-07-18,900067000089796,exposed
20135,reintroduction,2016-07-18,900067000089811,exposed
20135,reintroduction,2016-07-18,900067000089812,unexposed
20135,reintroduction,2016-07-18,900067000089815,exposed
20135,reintroduction,2016-07-18,900067000089821,exposed
20135,reintroduction,2016-07-18,900067000089822,exposed
20135,reintroduction,2016-07-18,900067000089827,unexposed
20135,reintroduction,2016-07-18,900067000089836,exposed
20135,reintroduction,2016-07-18,900067000089844,exposed
20135,reintroduction,2016-07-18,900067000089859,unexposed
20135,reintroduction,2016-07-18,900067000089870,unexposed
20135,reintroduction,2016-07-18,900067000089876,exposed
20135,reintroduction,2016-07-18,900067000089877,exposed
20135,reintroduction,2016-07-18,900067000089889,exposed
20135,reintroduction,2016-07-18,900067000089890,exposed
20135,reintroduction,2016-07-18,900067000089891,unexposed
20135,reintroduction,2016-07-18,900067000089915,exposed
20135,reintroduction,2016-07-18,900067000089918,exposed
20135,reintroduction,2016-07-18,900067000089926,unexposed
20135,reintroduction,2016-07-18,900067000089929,exposed
20135,reintroduction,2016-07-18,900067000089934,unexposed
20135,reintroduction,2016-07-18,900067000089940,exposed
20135,reintroduction,2016-07-18,900067000089946,exposed
20135,reintroduction,2016-07-18,900067000089971,exposed
20135,reintroduction,2016-07-18,900067000089977,unexposed
20135,reintroduction,2016-07-18,900067000089992,exposed
20135,reintroduction,2016-07-18,900067000089994,unexposed
20135,reintroduction,2016-07-18,900067000089996,exposed
20135,reintroduction,2016-07-18,900067000089999,exposed
20135,reintroduction,2017-08-15,898853549,unexposed
20135,reintroduction,2017-08-15,900067000089628,exposed
20135,reintroduction,2017-08-15,900067000089660,exposed
20135,reintroduction,2017-08-15,900067000089692,exposed
20135,reintroduction,2017-08-15,900067000089713,exposed
20135,reintroduction,2017-08-15,900067000089732,exposed
20135,reintroduction,2017-08-15,900067000089748,unexposed
20135,reintroduction,2017-08-15,900067000089750,exposed
20135,reintroduction,2017-08-15,900067000089778,exposed
20135,reintroduction,2017-08-15,900067000089786,unexposed
20135,reintroduction,2017-08-15,900067000089790,exposed
20135,reintroduction,2017-08-15,900067000089797,exposed
20135,reintroduction,2017-08-15,900067000089808,unexposed
20135,reintroduction,2017-08-15,900067000089813,exposed
20135,reintroduction,2017-08-15,900067000089820,exposed
20135,reintroduction,2017-08-15,900067000089826,unexposed
20135,reintroduction,2017-08-15,900067000089830,exposed
20135,reintroduction,2017-08-15,900067000089832,unexposed
20135,reintroduction,2017-08-15,900067000089845,exposed
20135,reintroduction,2017-08-15,900067000089853,unexposed
20135,reintroduction,2017-08-15,900067000089854,exposed
20135,reintroduction,2017-08-15,900067000089864,unexposed
20135,reintroduction,2017-08-15,900067000089866,exposed
20135,reintroduction,2017-08-15,900067000089879,exposed
20135,reintroduction,2017-08-15,900067000089882,unexposed
20135,reintroduction,2017-08-15,900067000089887,exposed
20135,reintroduction,2017-08-15,900067000089907,exposed
20135,reintroduction,2017-08-15,900067000089922,exposed
20135,reintroduction,2017-08-15,900067000089942,exposed
20135,reintroduction,2017-08-15,900067000089975,exposed
20135,reintroduction,2017-08-15,900067000089978,exposed
20135,reintroduction,2017-08-15,900067000089984,exposed
20135,reintroduction,2017-08-15,900067000089988,exposed
20135,reintroduction,2017-08-15,900067000089995,exposed
20135,reintroduction,2017-08-15,982000410163474,exposed
20135,reintroduction,2017-08-15,982000410163480,exposed
20135,reintroduction,2017-08-15,982000410163518,exposed
20135,reintroduction,2017-08-15,982000410163520,unexposed
20135,reintroduction,2017-08-15,982000410163537,exposed
20135,reintroduction,2017-08-15,982000410163569,exposed
20135,reintroduction,2017-08-15,982000410163570,unexposed
20135,reintroduction,2017-08-15,982000410163571,exposed
