site_id,survey_date,pit_tag_id,treatment
22008,2019-08-21,900067000089709,exposed
22008,2019-08-21,900067000089751,exposed
22008,2019-08-21,900067000089755,unexposed
22008,2019-08-21,900067000089800,exposed
22008,2019-08-21,900067000089900,exposed
22008,2019-08-21,900067000089902,exposed
22008,2019-08-21,900067000089985,unexposed
22008,2019-08-21,900067000089987,exposed
22008,2019-08-21,900067000117202,wild
22008,2019-08-21,900067000117239,wild
22008,2019-08-21,900067000117245,wild
22019,2019-08-21,900067000117363,wild
22019,2019-08-21,900067000117370,wild
22008,2019-08-21,900067000117375,wild
22019,2019-08-21,900067000117597,wild
22008,2020-07-14,900067000089531,exposed
22008,2020-07-14,900067000089593,exposed
22008,2020-07-14,900067000089709,exposed
22008,2020-07-14,900067000089755,unexposed
22008,2020-07-14,900067000089985,unexposed
22008,2020-07-14,900067000117202,wild
22008,2020-07-14,900067000117239,wild
22008,2020-07-14,900067000117325,wild
22008,2020-07-14,900067000117375,wild
22008,2020-07-14,982000410163511,exposed
22008,2020-07-15,900043000144376,wild
22008,2020-07-15,900067000089531,exposed
22008,2020-07-15,900067000089709,exposed
22008,2020-07-15,900067000089755,unexposed
22008,2020-07-15,900067000089800,exposed
22008,2020-07-15,900067000114405,wild
22008,2020-07-15,900067000117239,wild
22008,2020-07-15,900067000117325,wild
22008,2020-07-15,900067000117375,wild
22008,2020-07-15,982000410163511,exposed
22008,2020-07-16,900043000144376,wild
22008,2020-07-16,900067000089531,exposed
22008,2020-07-16,900067000089593,exposed
22008,2020-07-16,900067000089709,exposed
22008,2020-07-16,900067000089755,unexposed
22008,2020-07-16,900067000089800,exposed
22008,2020-07-16,900067000089985,unexposed
22008,2020-07-16,900067000117325,wild
22008,2020-07-16,900067000117375,wild
22008,2020-07-16,982000410163511,exposed
22008,2021-07-22,900043000144376,wild
22008,2021-07-22,900067000089593,exposed
22008,2021-07-22,900067000089902,exposed
22008,2021-07-22,900067000089987,exposed
22008,2021-07-22,900067000114405,wild
22008,2021-07-22,900067000117202,wild
22008,2021-07-22,900067000117325,wild
22008,2021-07-22,900067000117375,wild
22008,2021-07-23,900043000144376,wild
22008,2021-07-23,900067000089902,exposed
22008,2021-07-23,900067000117239,wild
22008,2021-07-23,900067000117325,wild
22008,2021-07-23,900067000117375,wild
22008,2021-07-23,982126058790847,wild
22008,2022-06-18,900067000089531,exposed
